MEDIA BUYER'S TRACKER,,,,,,,TALENT MANAGER'S TRACKER,,,,,,DELIVERABLES TRACKER,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LIVESTREAM LINK,AD TRACKING LINK,COST,,TALENT'S NAME,DATE,TIME,,,,TALENT'S NAME,REELS,LIVESTREAM
1/23/2026,Holy Father,Livestream,https://www.facebook.com/watch/live/?ref=watch_permalink&v=885683144393946,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,Jasoon,1/21/2026,10:53 AM,,,,FEBRUARY,,
1/23/2026,Holy Father,Livestream,https://www.facebook.com/watch/live/?ref=watch_permalink&v=1230456252366739&rdid=PcAgDQaB6eOavtlR,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,Jasoon,1/22/2026,11:07 AM,,,,JASOON,7,8
1/23/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/1222680836504331/?rdid=pEQm12JfQxwZiGmK#,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,Jasoon,1/23/2026,11:29 PM,,,,HOLYFATHER,6,6
1/23/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/2024003294810360,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,jasoon,1/25/2026,11:21 AM,,,,NEGGYTV,2,17
1/24/2026,Aether,Livestream,https://www.facebook.com/TeamAetherEsports/videos/1211344391104087,https://wfl-88.net/r/WoolfybetsAD/reg,"₱3,000.00",,jasoon,1/26/2026,1:00 PM,,,,AETHER,6,5
1/24/2026,Aether,Reels,https://www.facebook.com/reel/865761549646384,https://wfl-88.net/r/WOOLFYBETSREELS/reg,"₱3,000.00",,HolyFather ,1/21/2026,1:04 PM,,,,BOSS WRECKER,,15
1/24/2026,Jasoon,Reels,https://www.facebook.com/reel/1441004237542434,https://wfl-88.net/r/JASOONREELS/reg,"₱3,000.00",,HolyFather ,1/21/2026,11:23 PM,,,,ATO CLASS S,1,2
1/25/2026,Jasoon,Livestream,https://www.facebook.com/itsmeJ4soon/videos/883670777385663,https://wfl-88.net/r/JasoonAD/reg,"₱3,000.00",,HolyFather ,1/22/2026,11:31 PM,,,,,,
1/25/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/1212566064332187,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,HolyFather ,1/23/2026,6:09 PM,,,,JANUARY 23 - 31,,
1/26/2026,Holy Father,Livestream,https://www.facebook.com/100084497334397/videos/4171745289806749,https://wfl-88.net/r/HolyfatherAD/reg,"₱3,000.00",,HolyFather ,1/23/2026,11:14 PM,,,,JASOON,4,6
