MEDIA BUYER'S TRACKER,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LINK,VIEWS,,,,
2/3/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1FHLaebiu4/,"1,000,000",,TALENT'S NAME,LIVESTREAM COUNT,REELS COUNT
2/4/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/16rEwW5G22/,"1,300,000",,DOGIE,14,17
2/7/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1Ah6cpS6av/,"883,000",,YAWI,18,18
2/8/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1EC3badDsi/,"1,500,000",,RENEJAY,29,27
2/9/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1FArwTfoEE/,"1,300,000",,H2WO,31,19
2/12/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1K3CTTT9QX/,"868,000",,RIBO,25,11
2/17/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1DiT6N88mp/,"922,000",,JAPE,24,5
2/18/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1VLeGVqMom/,"833,000",,YUJI,28,16
2/20/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1EBPzXVdnZ/,"1,100,000",,ZICO,30,10
2/21/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1BwQxJLcsJ/,"171,000",,,,
2/21/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1B7bFevTuv/,"951,000",,,,
2/23/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/18Hm2hFEW6/,"1,300,000",,,,
2/25/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/18CM1m45BX/,"1,400,000",,,,
2/26/2026,AKOSI DOGIE,Livestream,https://www.facebook.com/share/v/1AcWaFNzpQ/,"1,200,000",,,,
2/1/2026,YAWI,Livestream,https://www.facebook.com/share/v/18DUUYNuVb/,"150,000",,,,
2/3/2026,YAWI,Livestream,https://www.facebook.com/share/v/18hCAdoU7U/,"143,000",,,,
2/5/2026,YAWI,Livestream,https://www.facebook.com/share/v/1CHS3YfSzD/,"209,000",,,,
2/7/2026,YAWI,Livestream,https://www.facebook.com/share/v/1DdYaGYjB6/,"241,000",,,,
