,,,,,,,,,
CHADKINIS&LP : END OF DAY REPORT ,,,,,,,,,
,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
02 Feb 2026,376 ,238 ,"4,768,666 ","105,856 ","57,281 ","163,137 ","418,449 ","-320,127",SUCCESS
03 Feb 2026,408 ,214 ,"4,010,226 ","-410,028","26,329 ","-383,700","500,215 ","-385,567",SUCCESS
04 Feb 2026,277 ,181 ,"4,513,419 ","-196,045","34,311 ","-161,734","436,670 ","-208,421",SUCCESS
05 Feb 2026,105 ,181 ,"4,110,070 ","-283,930","12,680 ","-271,250","393,655 ","-114,108",SUCCESS
06 Feb 2026,222 ,171 ,"2,808,434 ","-53,989","13,090 ","-40,899","310,893 ","-162,062",SUCCESS
07 Feb 2026,210 ,198 ,"4,493,366 ","-246,290","13,129 ","-233,162","345,418 ","-116,951",SUCCESS
08 Feb 2026,108 ,186 ,"3,705,536 ","-68,562","12,013 ","-56,549","296,569 ","-272,600",SUCCESS
09 Feb 2026,266 ,161 ,"2,591,134 ","-117,303","19,344 ","-97,960","257,787 ","-137,525",SUCCESS
10 Feb 2026,46 ,131 ,"6,536,724 ","14,357 ","26,388 ","40,745 ","380,984 ","-124,361",SUCCESS
11 Feb 2026,"1,351 ",187 ,"4,029,087 ","-125,739","5,339 ","-120,400","221,121 ","-173,749",SUCCESS
12 Feb 2026,199 ,141 ,"2,585,973 ","-73,058","3,219 ","-69,840","252,491 ","-117,292",SUCCESS
13 Feb 2026,266 ,136 ,"2,206,009 ","-171,458","8,864 ","-162,594","194,787 ","-111,123",SUCCESS
14 Feb 2026,30 ,131 ,"4,091,398 ","-183,656","6,578 ","-177,078","301,675 ","-368,764",SUCCESS
15 Feb 2026,23 ,114 ,"1,996,824 ","-108,220","6,195 ","-102,025","292,559 ","-246,269",SUCCESS
16 Feb 2026,544 ,166 ,"2,532,820 ","-52,181","36,899 ","-15,282","243,357 ","-121,642",SUCCESS
17 Feb 2026,222 ,155 ,"1,646,337 ","-85,674","6,447 ","-79,227","237,821 ","-133,994",SUCCESS
18 Feb 2026,319 ,145 ,"1,904,052 ","-68,649","9,366 ","-59,282","199,465 ","-225,395",SUCCESS
19 Feb 2026,206 ,131 ,"2,369,928 ","-137,139","6,380 ","-130,760","279,008 ","-107,829",SUCCESS
