,,,,,,,,,
HOLYFATHER : END OF THE DAY,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS
02 Feb 2026,164,293,"1,330,953","5,115","7,303","12,418","138,500","-149,703",SUCCESS
03 Feb 2026,118,249,"955,248","-92,914","6,322","-86,592","129,599","-66,655",SUCCESS
04 Feb 2026,100,236,"716,827","-13,471","3,629","-9,843","80,443","-60,382",SUCCESS
05 Feb 2026,93,226,"751,560","-49,516","3,894","-45,622","106,101","-48,924",SUCCESS
06 Feb 2026,98,219,"1,710,673","28,773","1,171","29,944","204,007","-100,925",SUCCESS
07 Feb 2026,71,184,"4,042,074","-62,831",835,"-61,996","329,153","-33,872",SUCCESS
08 Feb 2026,61,194,"2,682,131","72,038",745,"72,783","69,158","-167,398",SUCCESS
09 Feb 2026,53,173,"1,470,897","-335,363",295,"-335,068","164,564","-176,178",SUCCESS
10 Feb 2026,60,159,"1,228,785","-119,742",290,"-119,452","167,708","-46,969",SUCCESS
11 Feb 2026,37,145,"787,576","-61,818",411,"-61,407","110,726","-26,198",SUCCESS
12 Feb 2026,39,139,"432,183","-25,233",200,"-25,033","53,688","-59,280",SUCCESS
13 Feb 2026,42,144,"550,923","141,598",435,"142,033","57,410","-159,191",SUCCESS
14 Feb 2026,33,148,"1,042,390","-23,317",254,"-23,063","70,748","-59,877",SUCCESS
15 Feb 2026,50,155,"739,645","-19,952",455,"-19,497","69,205","-59,642",SUCCESS
16 Feb 2026,39,117,"406,342","-48,179",80,"-48,099","69,850","-35,893",SUCCESS
17 Feb 2026,206,182,"613,576","-11,299","8,342","-2,957","69,028","-49,591",SUCCESS
18 Feb 2026,156,166,"485,154","-64,833",882,"-63,950","75,979","-17,553",SUCCESS
19 Feb 2026,128,164,"675,693","-78,738",745,"-77,993","103,022","-19,137",SUCCESS
20 Feb 2026,113,167,"472,324","31,539",440,"31,979","46,856","-66,547",SUCCESS
21 Feb 2026,63,166,"517,406","-5,494",431,"-5,063","59,919","-47,733",SUCCESS
22 Feb 2026,138,175,"706,064","-24,460","5,532","-18,928","54,208","-23,871",SUCCESS
23 Feb 2026,68,159,"579,649","-61,164",282,"-60,882","84,046","-42,349",SUCCESS
24 Feb 2026,324,193,"557,486","-88,487","8,364","-80,123","114,190","-28,072",SUCCESS
25 Feb 2026,101,137,"414,036","-2,470",284,"-2,186","26,839","-27,187",PENDING
26 Feb 2026,,,,,,0,,,PENDING
27 Feb 2026,,,,,,0,,,PENDING
28 Feb 2026,,,,,,0,,,PENDING
01 Mar 2026,,,,,,0,,,PENDING
02 Mar 2026,,,,,,0,,,PENDING
03 Mar 2026,,,,,,0,,,PENDING
04 Mar 2026,,,,,,0,,,PENDING
05 Mar 2026,,,,,,0,,,PENDING
06 Mar 2026,,,,,,0,,,PENDING
07 Mar 2026,,,,,,0,,,PENDING
08 Mar 2026,,,,,,0,,,PENDING
Holyfather,TOTAL REGISTER,TOTAL ACTIVE PL,TOTAL VTO,TOTAL GGR,TOTAL FTD BONUS,TOTAL NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,OVERALL STATUS
,"2,355","4,290","23,869,593","-910,216","51,620","-858,597","2,454,947","-1,573,126",95.83%
