,,,,,,,,,,
WFLAFFILIATE : END OF THE DAY,,,,,,,,,,
DAY,REGISTER,ACTIVE PL,VALID TURNOVER,WIN/LOSS,BONUS,NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,STATUS,
02 Feb 2026,1,14,"65,891","-1,893",212,"-1,681","2,840","-5,750",SUCCESS,
03 Feb 2026,4,15,"348,606","-80,009",327,"-79,681","56,662","-14,815",SUCCESS,
04 Feb 2026,7,13,"26,457","-2,786",363,"-2,423","2,700",0 ,SUCCESS,
05 Feb 2026,4,12,"60,915","-32,408",419,"-31,989","32,086",-250,SUCCESS,
06 Feb 2026,9,21,"167,167",-518,80,-438,"19,592","-18,450",SUCCESS,
07 Feb 2026,3,17,"108,037","-4,614",50,"-4,564","13,939","-9,409",SUCCESS,
08 Feb 2026,2,15,"117,043","-15,673",20,"-15,653","17,568","-2,800",SUCCESS,-
09 Feb 2026,4,16,"48,327","-5,788",10,"-5,778","4,490","-6,031",SUCCESS,
10 Feb 2026,5,12,"50,975","6,910 ",80,"6,990 ","16,690","-22,742",SUCCESS,
11 Feb 2026,3,11,"213,235","-62,183",0,"-62,183","62,105","-26,904",SUCCESS,
12 Feb 2026,0,16,"20,320","-2,915",0,"-2,915","3,030",-500,SUCCESS,
13 Feb 2026,5,7,"27,102","3,622 ",0,"3,622 ","4,775","-8,223",SUCCESS,
14 Feb 2026,1,11,"178,968","-9,547",0,"-9,547","22,388","-13,000",SUCCESS,
15 Feb 2026,3,7,"65,554","-3,949",0,"-3,949","4,470",-500,SUCCESS,
16 Feb 2026,6,14,"59,069","3,093 ",0,"3,093 ","9,019","-16,210",SUCCESS,
17 Feb 2026,6,8,"129,635","5,231 ",0,"5,231 ","23,715","-28,836",SUCCESS,
18 Feb 2026,4,11,"351,914","10,287 ",0,"10,287 ","65,590","-73,290",SUCCESS,
19 Feb 2026,5,19,"141,287","29,270 ",0,"29,270 ","28,407","-59,726",SUCCESS,
20 Feb 2026,7,14,"2,500,663","-129,890",0,"-129,890","176,270","-62,037",SUCCESS,
21 Feb 2026,8,13,"220,979","95,292 ",100,"95,392 ","56,212","-127,303",SUCCESS,
22 Feb 2026,25,19,"331,481","-56,240",130,"-56,110","38,059","-7,211",SUCCESS,
23 Feb 2026,11,14,"674,106","-96,183",0,"-96,183","115,949","-13,169",SUCCESS,
24 Feb 2026,9,16,"911,712","-55,430",0,"-55,430","107,188","-1,200",SUCCESS,
25 Feb 2026,11,21,"711,439","-145,690",40,"-145,650","46,029","-2,898",SUCCESS,
26 Feb 2026,,,,,,0 ,,,PENDING,
27 Feb 2026,,,,,,0 ,,,PENDING,
28 Feb 2026,,,,,,0 ,,,PENDING,
01 Mar 2026,,,,,,0 ,,,PENDING,
02 Mar 2026,,,,,,0 ,,,PENDING,
03 Mar 2026,,,,,,0 ,,,PENDING,
04 Mar 2026,,,,,,0 ,,,PENDING,
05 Mar 2026,,,,,,0 ,,,PENDING,
06 Mar 2026,,,,,,0 ,,,PENDING,
07 Mar 2026,,,,,,0 ,,,PENDING,
08 Mar 2026,,,,,,0 ,,,PENDING,
wflaffliates,TOTAL REGISTER,TOTAL ACTIVE PL,TOTAL VTO,TOTAL GGR,TOTAL FTD BONUS,TOTAL NGR,TOTAL DEPOSIT,TOTAL WITHDRAWAL,OVERALL STATUS,
,143,336,"7,530,882","-552,010","1,831","-550,179","929,773","-521,254",96.00%,
,,,,,,,,,,
,,,,,,,,,,
CLASSS (ATO) : END OF THE DAY,,,,,,,,,,
